game_date,home_team,away_team,predicted_total,actual_total,error
2025-12-26,DEN,MIN,252.01986568873747,280,-27.980134311262532
2025-12-26,MIN,DEN,258.84557006877606,280,-21.154429931223945
2025-12-26,LAL,HOU,227.7889206508753,215,12.788920650875298
2025-12-26,MIA,ATL,233.8841100097617,237,-3.115889990238287
2025-12-26,CHA,ORL,226.9791888657753,225,1.9791888657753134
2025-12-26,TOR,WAS,217.32832143528532,255,-37.67167856471468
2025-12-26,ORL,CHA,222.69525616747643,225,-2.3047438325235703
2025-12-26,BOS,IND,209.9724148117715,262,-52.0275851882285
2025-12-26,HOU,LAL,230.14755925383182,215,15.147559253831815
2025-12-26,ATL,MIA,228.96072080154238,237,-8.03927919845762
2025-12-26,LAC,POR,223.52266789489073,222,1.5226678948907306
2025-12-26,DET,UTA,242.61416813169436,260,-17.385831868305644
2025-12-26,PHX,NOP,238.7299728993738,223,15.729972899373792
2025-12-26,MIL,MEM,228.0848910575778,229,-0.9151089424221936
2025-12-26,PHI,CHI,236.40790115894936,211,25.407901158949358
2025-12-26,WAS,TOR,230.24944181124937,255,-24.75055818875063
2025-12-26,IND,BOS,218.65054791168234,262,-43.34945208831766
2025-12-26,CHI,PHI,230.60625421948896,211,19.60625421948896
2025-12-26,MEM,MIL,227.08277697542457,229,-1.917223024575435
2025-12-26,NOP,PHX,244.7310792793029,223,21.73107927930289
2025-12-26,UTA,DET,251.63692528140814,260,-8.36307471859186
2025-12-26,POR,LAC,217.92916937447538,222,-4.070830625524621
2025-12-27,ORL,CHA,221.68044911514758,225,-3.3195508848524184
2025-12-27,CHI,PHI,226.3269362453185,211,15.326936245318507
2025-12-27,MEM,MIL,223.44522366491518,229,-5.554776335084824
2025-12-27,NOP,PHX,238.2241962153159,223,15.224196215315914
2025-12-27,MIA,IND,226.4473884437623,258,-31.552611556237707
2025-12-27,POR,LAC,217.98402188589404,222,-4.0159781141059625
2025-12-27,SAC,DAL,240.52373983479754,220,20.52373983479754
2025-12-27,IND,BOS,220.75766105269173,262,-41.24233894730827
2025-12-27,UTA,DET,241.6313146225001,260,-18.3686853774999
2025-12-27,ATL,MIA,238.0071732620558,237,1.007173262055801
2025-12-27,WAS,TOR,236.69432713677452,255,-18.30567286322548
2025-12-27,NYK,ATL,237.18349961246474,253,-15.816500387535257
2025-12-27,ATL,NYK,239.7545700664857,253,-13.245429933514288
2025-12-27,DET,UTA,256.3909490271997,260,-3.6090509728002758
2025-12-27,MIL,MEM,226.15802173533825,229,-2.8419782646617477
2025-12-27,PHI,CHI,225.36130048379334,211,14.361300483793343
2025-12-27,BOS,IND,230.2143689067277,262,-31.785631093272286
2025-12-27,TOR,WAS,240.51443722740672,255,-14.485562772593283
2025-12-27,CHA,ORL,221.0843141595734,225,-3.9156858404265904
2025-12-27,MIA,ATL,239.6270396421822,237,2.6270396421822113
2025-12-27,PHX,NOP,238.0198048357114,223,15.019804835711398
2025-12-27,ORL,DEN,237.4366576041818,253,-15.56334239581821
2025-12-27,UTA,SAS,242.57374634888635,241,1.5737463488863455
2025-12-27,BKN,MIN,230.9240975197834,230,0.9240975197834018
2025-12-27,CLE,HOU,242.3454063896399,217,25.34540638963989
2025-12-27,MIL,CHI,220.8216143989776,215,5.8216143989776015
2025-12-27,IND,MIA,250.62972558116127,258,-7.370274418838733
2025-12-27,DEN,ORL,243.53272631448095,253,-9.467273685519046
2025-12-27,DAL,SAC,244.5869052592838,220,24.58690525928381
2025-12-27,LAC,POR,218.96222846662536,222,-3.037771533374638
2025-12-27,MIN,BKN,237.33615434997083,230,7.336154349970826
2025-12-27,HOU,CLE,230.99772590539123,217,13.997725905391235
